# Q I_noisy Sigma_stat Sigma_total
2.000000000000000367e-04 2.153410173364548013e+06 4.821407232360155831e+03 4.821407232360155831e+03
2.007330279342118596e-04 2.157061000917280093e+06 4.819721593001014298e+03 4.819721593001014298e+03
2.014687425181853678e-04 2.153873878006223589e+06 4.810367356130152984e+03 4.810367356130152984e+03
2.022071535988673868e-04 2.140071789483079687e+06 4.789130907060443860e+03 4.789130907060443860e+03
2.029482710592945530e-04 2.148479184166540857e+06 4.792692670926026040e+03 4.792692670926026040e+03
2.036921048187268326e-04 2.130172913765025791e+06 4.766394069606566518e+03 4.766394069606566518e+03
2.044386648327794966e-04 2.136681630538946018e+06 4.767799168653557899e+03 4.767799168653557899e+03
2.051879610935566944e-04 2.127292654270404018e+06 4.751428629162343896e+03 4.751428629162343896e+03
2.059400036297844580e-04 2.114372012252554297e+06 4.731085946383666851e+03 4.731085946383666851e+03
2.066948025069460381e-04 2.109160876008094288e+06 4.719342889095744795e+03 4.719342889095744795e+03
2.074523678274159920e-04 2.109400035606585909e+06 4.713675424434341949e+03 4.713675424434341949e+03
2.082127097305956284e-04 2.097428655112484004e+06 4.694337322967231557e+03 4.694337322967231557e+03
2.089758383930479630e-04 2.095451960929090390e+06 4.686158834692208984e+03 4.686158834692208984e+03
2.097417640286351683e-04 2.081285427284687525e+06 4.664320441012911033e+03 4.664320441012911033e+03
2.105104968886544511e-04 2.095799814528420568e+06 4.674539191260952975e+03 4.674539191260952975e+03
2.112820472619756653e-04 2.076065522386412835e+06 4.646465469762251814e+03 4.646465469762251814e+03
2.120564254751781377e-04 2.065362066654351074e+06 4.628449002692089380e+03 4.628449002692089380e+03
2.128336418926902052e-04 2.070468115815633209e+06 4.628111029240050811e+03 4.628111029240050811e+03
2.136137069169270980e-04 2.070664592485925416e+06 4.622249487205701371e+03 4.622249487205701371e+03
2.143966309884305578e-04 2.051922237837994006e+06 4.595204624874734691e+03 4.595204624874734691e+03
2.151824245860076970e-04 2.044042640042279847e+06 4.580281428435587259e+03 4.580281428435587259e+03
2.159710982268725683e-04 2.046939670578174526e+06 4.577405234535761338e+03 4.577405234535761338e+03
2.167626624667861083e-04 2.040528014330579201e+06 4.564094542990201262e+03 4.564094542990201262e+03
2.175571279001977613e-04 2.036641637978640851e+06 4.553591046365925649e+03 4.553591046365925649e+03
2.183545051603864526e-04 2.028061201909184456e+06 4.537821901551650626e+03 4.537821901551650626e+03
2.191548049196042995e-04 2.021346030169599224e+06 4.524121804642983989e+03 4.524121804642983989e+03
2.199580378892183712e-04 2.016258751459169667e+06 4.512227042536808767e+03 4.512227042536808767e+03
2.207642148198546970e-04 2.012433577456850791e+06 4.501728072097292170e+03 4.501728072097292170e+03
2.215733465015411923e-04 2.010201397018356714e+06 4.492992945175417844e+03 4.492992945175417844e+03
2.223854437638533204e-04 2.002638911756378133e+06 4.478283053415178074e+03 4.478283053415178074e+03
2.232005174760583188e-04 1.994344424744858406e+06 4.462737527654384394e+03 4.462737527654384394e+03
2.240185785472609975e-04 1.995859923502190970e+06 4.458144198051280000e+03 4.458144198051280000e+03
2.248396379265488318e-04 1.991651318983651232e+06 4.447135078047410389e+03 4.447135078047410389e+03
2.256637066031400105e-04 1.982697753113951534e+06 4.430811405855093653e+03 4.430811405855093653e+03
2.264907956065294510e-04 1.980729908310483210e+06 4.422274769003162874e+03 4.422274769003162874e+03
2.273209160066369278e-04 1.969827478864112636e+06 4.403743457643237889e+03 4.403743457643237889e+03
2.281540789139543620e-04 1.963555638089139247e+06 4.390369494851267518e+03 4.390369494851267518e+03
2.289902954796958746e-04 1.954318021969260182e+06 4.373663368331534002e+03 4.373663368331534002e+03
2.298295768959460509e-04 1.953051735762353055e+06 4.365857795189903300e+03 4.365857795189903300e+03
2.306719343958101302e-04 1.946258350322436076e+06 4.351857178028037197e+03 4.351857178028037197e+03
2.315173792535644114e-04 1.939468170582121704e+06 4.337845572005419854e+03 4.337845572005419854e+03
2.323659227848063062e-04 1.933900103109698743e+06 4.325186400932638207e+03 4.325186400932638207e+03
2.332175763466071854e-04 1.929823004353772849e+06 4.314180143262103229e+03 4.314180143262103229e+03
2.340723513376634075e-04 1.920290637193652568e+06 4.297059901892768721e+03 4.297059901892768721e+03
2.349302591984494084e-04 1.911909457323311595e+06 4.281211000824001530e+03 4.281211000824001530e+03
2.357913114113698689e-04 1.916243586348655168e+06 4.279568912544936211e+03 4.279568912544936211e+03
2.366555195009147560e-04 1.907307198607930914e+06 4.263078432965859065e+03 4.263078432965859065e+03
2.375228950338126560e-04 1.900524858264526818e+06 4.248980510708147449e+03 4.248980510708147449e+03
2.383934496191861675e-04 1.888490205399889033e+06 4.228992492964232042e+03 4.228992492964232042e+03
2.392671949087060755e-04 1.889643010963875800e+06 4.223744397041543380e+03 4.223744397041543380e+03
2.401441425967490212e-04 1.891145799736528890e+06 4.218859433402700233e+03 4.218859433402700233e+03
2.410243044205528679e-04 1.881726717410968849e+06 4.201769510428738613e+03 4.201769510428738613e+03
2.419076921603743175e-04 1.873824395852722693e+06 4.186358178359375415e+03 4.186358178359375415e+03
2.427943176396456855e-04 1.861933345444935607e+06 4.166473013898073077e+03 4.166473013898073077e+03
2.436841927251344963e-04 1.860301959123399341e+06 4.158046798584515273e+03 4.158046798584515273e+03
2.445773293271013963e-04 1.852268266827951884e+06 4.142450244493948958e+03 4.142450244493948958e+03
2.454737393994601289e-04 1.847026476058687083e+06 4.129963184283144074e+03 4.129963184283144074e+03
2.463734349399363151e-04 1.849419293693614658e+06 4.125989537404988369e+03 4.125989537404988369e+03
2.472764279902298404e-04 1.836590703787031583e+06 4.105007661005253794e+03 4.105007661005253794e+03
2.481827306361746120e-04 1.827271844382248819e+06 4.087928082881501723e+03 4.087928082881501723e+03
2.490923550079012969e-04 1.823160911282354966e+06 4.076660773606623479e+03 4.076660773606623479e+03
2.500053132799983269e-04 1.814521673138059210e+06 4.060318290145195533e+03 4.060318290145195533e+03
2.509216176716764254e-04 1.809078085216355277e+06 4.047539455170202473e+03 4.047539455170202473e+03
2.518412804469312384e-04 1.807764451944723725e+06 4.039366812860088885e+03 4.039366812860088885e+03
2.527643139147078616e-04 1.797513720986263128e+06 4.021192929830178855e+03 4.021192929830178855e+03
2.536907304290647179e-04 1.789407136680805124e+06 4.005403785356375465e+03 4.005403785356375465e+03
2.546205423893402537e-04 1.790991939305015840e+06 4.000441596466555438e+03 4.000441596466555438e+03
2.555537622403180622e-04 1.782970185121697141e+06 3.984731187617136129e+03 3.984731187617136129e+03
2.564904024723937428e-04 1.775299408221974038e+06 3.969402385957830120e+03 3.969402385957830120e+03
2.574304756217412173e-04 1.768011656809765613e+06 3.954491773408343306e+03 3.954491773408343306e+03
2.583739942704820825e-04 1.765598685865862994e+06 3.945021315019807389e+03 3.945021315019807389e+03
2.593209710468528484e-04 1.751328887336471817e+06 3.922282732079731886e+03 3.922282732079731886e+03
2.602714186253745612e-04 1.751245563950253651e+06 3.915404943978208848e+03 3.915404943978208848e+03
2.612253497270212348e-04 1.739746248795015737e+06 3.895746275394749318e+03 3.895746275394749318e+03
2.621827771193920758e-04 1.742134098940435564e+06 3.891611445734427889e+03 3.891611445734427889e+03
2.631437136168808359e-04 1.733964791649061488e+06 3.875664762602333212e+03 3.875664762602333212e+03
2.641081720808478753e-04 1.724749674946366111e+06 3.858539013846603211e+03 3.858539013846603211e+03
2.650761654197926042e-04 1.723497427145905094e+06 3.850307134620657962e+03 3.850307134620657962e+03
2.660477065895248960e-04 1.720361076609268319e+06 3.839957764097038762e+03 3.839957764097038762e+03
2.670228085933405108e-04 1.703019563828031300e+06 3.813725557009287513e+03 3.813725557009287513e+03
2.680014844821935918e-04 1.706498720970451366e+06 3.810763166072493277e+03 3.810763166072493277e+03
2.689837473548723065e-04 1.693503853655696614e+06 3.789376869806210834e+03 3.789376869806210834e+03
2.699696103581728066e-04 1.693478413225624943e+06 3.782479951367262402e+03 3.782479951367262402e+03
2.709590866870769288e-04 1.685405798666864634e+06 3.766582650676297362e+03 3.766582650676297362e+03
2.719521895849276731e-04 1.674691094468700932e+06 3.747722506782542951e+03 3.747722506782542951e+03
2.729489323436071202e-04 1.671399332574414788e+06 3.737156987202013170e+03 3.737156987202013170e+03
