# Q counts scale_i
# # counts ~ Poisson(I_sys*scale_i)
2.000000000000000367e-04 1.994830000000000000e+05 9.263585844786932644e-02
2.007330279342118596e-04 2.003000000000000000e+05 9.285782827413009699e-02
2.014687425181853678e-04 2.004860000000000000e+05 9.308158757447017317e-02
2.022071535988673868e-04 1.996840000000000000e+05 9.330715024668979896e-02
2.029482710592945530e-04 2.009570000000000000e+05 9.353453432594330264e-02
2.036921048187268326e-04 1.997330000000000000e+05 9.376374974507448168e-02
2.044386648327794966e-04 2.008370000000000000e+05 9.399481753832547581e-02
2.051879610935566944e-04 2.004500000000000000e+05 9.422774981035610120e-02
2.059400036297844580e-04 1.997290000000000000e+05 9.446256327769772532e-02
2.066948025069460381e-04 1.997360000000000000e+05 9.469927224234814256e-02
2.074523678274159920e-04 2.002620000000000000e+05 9.493789542978366136e-02
2.082127097305956284e-04 1.996300000000000000e+05 9.517844600501748631e-02
2.089758383930479630e-04 1.999500000000000000e+05 9.542094198682814221e-02
2.097417640286351683e-04 1.991070000000000000e+05 9.566539859925000944e-02
2.105104968886544511e-04 2.010120000000000000e+05 9.591183213518417183e-02
2.112820472619756653e-04 1.996350000000000000e+05 9.616025980264915340e-02
2.120564254751781377e-04 1.991230000000000000e+05 9.641069874133804951e-02
2.128336418926902052e-04 2.001380000000000000e+05 9.666316446566398934e-02
2.136137069169270980e-04 2.006840000000000000e+05 9.691767596174032107e-02
2.143966309884305578e-04 1.993940000000000000e+05 9.717424779707602156e-02
2.151824245860076970e-04 1.991570000000000000e+05 9.743289895159944203e-02
2.159710982268725683e-04 1.999730000000000000e+05 9.769364621455405018e-02
2.167626624667861083e-04 1.998830000000000000e+05 9.795650860768707890e-02
2.175571279001977613e-04 2.000420000000000000e+05 9.822150164745768741e-02
2.183545051603864526e-04 1.997410000000000000e+05 9.848864512173843844e-02
2.191548049196042995e-04 1.996240000000000000e+05 9.875795485805601015e-02
2.199580378892183712e-04 1.996690000000000000e+05 9.902945237336191475e-02
2.207642148198546970e-04 1.998410000000000000e+05 9.930315327601656195e-02
