# Q scale_from_stat scale_from_total
# # scale_from_stat = I/sigma_stat^2
# # scale_from_total = I/sigma_total^2
2.000000000000000367e-04 9.263585844786934032e-02 9.263585844786934032e-02
2.007330279342118596e-04 9.285782827413009699e-02 9.285782827413009699e-02
2.014687425181853678e-04 9.308158757447018705e-02 9.308158757447018705e-02
2.022071535988673868e-04 9.330715024668979896e-02 9.330715024668979896e-02
2.029482710592945530e-04 9.353453432594330264e-02 9.353453432594330264e-02
2.036921048187268326e-04 9.376374974507449556e-02 9.376374974507449556e-02
2.044386648327794966e-04 9.399481753832546194e-02 9.399481753832546194e-02
2.051879610935566944e-04 9.422774981035610120e-02 9.422774981035610120e-02
2.059400036297844580e-04 9.446256327769771144e-02 9.446256327769771144e-02
2.066948025069460381e-04 9.469927224234812868e-02 9.469927224234812868e-02
2.074523678274159920e-04 9.493789542978364748e-02 9.493789542978364748e-02
2.082127097305956284e-04 9.517844600501747243e-02 9.517844600501747243e-02
2.089758383930479630e-04 9.542094198682814221e-02 9.542094198682814221e-02
2.097417640286351683e-04 9.566539859924999556e-02 9.566539859924999556e-02
2.105104968886544511e-04 9.591183213518414408e-02 9.591183213518414408e-02
2.112820472619756653e-04 9.616025980264912565e-02 9.616025980264912565e-02
2.120564254751781377e-04 9.641069874133804951e-02 9.641069874133804951e-02
2.128336418926902052e-04 9.666316446566398934e-02 9.666316446566398934e-02
2.136137069169270980e-04 9.691767596174032107e-02 9.691767596174032107e-02
2.143966309884305578e-04 9.717424779707603544e-02 9.717424779707603544e-02
2.151824245860076970e-04 9.743289895159942815e-02 9.743289895159942815e-02
2.159710982268725683e-04 9.769364621455403630e-02 9.769364621455403630e-02
2.167626624667861083e-04 9.795650860768706503e-02 9.795650860768706503e-02
2.175571279001977613e-04 9.822150164745767353e-02 9.822150164745767353e-02
2.183545051603864526e-04 9.848864512173845231e-02 9.848864512173845231e-02
2.191548049196042995e-04 9.875795485805603791e-02 9.875795485805603791e-02
2.199580378892183712e-04 9.902945237336191475e-02 9.902945237336191475e-02
2.207642148198546970e-04 9.930315327601657582e-02 9.930315327601657582e-02
2.215733465015411923e-04 9.957907714963745716e-02 9.957907714963745716e-02
2.223854437638533204e-04 9.985724277404203764e-02 9.985724277404203764e-02
2.232005174760583188e-04 1.001376680587904577e-01 1.001376680587904577e-01
2.240185785472609975e-04 1.004203740151807384e-01 1.004203740151807384e-01
2.248396379265488318e-04 1.007053785410348817e-01 1.007053785410348817e-01
2.256637066031400105e-04 1.009927003172892551e-01 1.009927003172892551e-01
2.264907956065294510e-04 1.012823601836346232e-01 1.012823601836346232e-01
2.273209160066369278e-04 1.015743775263898141e-01 1.015743775263898141e-01
2.281540789139543620e-04 1.018687711821891495e-01 1.018687711821891495e-01
2.289902954796958746e-04 1.021655624905968285e-01 1.021655624905968285e-01
2.298295768959460509e-04 1.024647715857284758e-01 1.024647715857284758e-01
2.306719343958101302e-04 1.027664184289122928e-01 1.027664184289122928e-01
2.315173792535644114e-04 1.030705236786641499e-01 1.030705236786641499e-01
2.323659227848063062e-04 1.033771080928783809e-01 1.033771080928783809e-01
2.332175763466071854e-04 1.036861927485442370e-01 1.036861927485442370e-01
2.340723513376634075e-04 1.039977991518273165e-01 1.039977991518273165e-01
2.349302591984494084e-04 1.043119480559558665e-01 1.043119480559558665e-01
2.357913114113698689e-04 1.046286606923680640e-01 1.046286606923680640e-01
2.366555195009147560e-04 1.049479602164217762e-01 1.049479602164217762e-01
2.375228950338126560e-04 1.052698674947577656e-01 1.052698674947577656e-01
2.383934496191861675e-04 1.055944052184130677e-01 1.055944052184130677e-01
2.392671949087060755e-04 1.059215940993556704e-01 1.059215940993556704e-01
2.401441425967490212e-04 1.062514587865166921e-01 1.062514587865166921e-01
2.410243044205528679e-04 1.065840210187106035e-01 1.065840210187106035e-01
2.419076921603743175e-04 1.069193038811021984e-01 1.069193038811021984e-01
2.427943176396456855e-04 1.072573303918553517e-01 1.072573303918553517e-01
2.436841927251344963e-04 1.075981235295374039e-01 1.075981235295374039e-01
2.445773293271013963e-04 1.079417077864192331e-01 1.079417077864192331e-01
2.454737393994601289e-04 1.082881066365639217e-01 1.082881066365639217e-01
2.463734349399363151e-04 1.086373439950091141e-01 1.086373439950091141e-01
2.472764279902298404e-04 1.089894441844084100e-01 1.089894441844084100e-01
2.481827306361746120e-04 1.093444309418271781e-01 1.093444309418271781e-01
2.490923550079012969e-04 1.097023300369700805e-01 1.097023300369700805e-01
2.500053132799983269e-04 1.100631659332099721e-01 1.100631659332099721e-01
2.509216176716764254e-04 1.104269636742123001e-01 1.104269636742123001e-01
2.518412804469312384e-04 1.107937484800836370e-01 1.107937484800836370e-01
2.527643139147078616e-04 1.111635464403373380e-01 1.111635464403373380e-01
2.536907304290647179e-04 1.115363831454316140e-01 1.115363831454316140e-01
2.546205423893402537e-04 1.119122848078128452e-01 1.119122848078128452e-01
2.555537622403180622e-04 1.122912775943779862e-01 1.122912775943779862e-01
2.564904024723937428e-04 1.126733885414495928e-01 1.126733885414495928e-01
2.574304756217412173e-04 1.130586437199648381e-01 1.130586437199648381e-01
2.583739942704820825e-04 1.134470712985212737e-01 1.134470712985212737e-01
2.593209710468528484e-04 1.138386978263189325e-01 1.138386978263189325e-01
2.602714186253745612e-04 1.142335513180393197e-01 1.142335513180393197e-01
2.612253497270212348e-04 1.146316597251635649e-01 1.146316597251635649e-01
2.621827771193920758e-04 1.150330506256004998e-01 1.150330506256004998e-01
2.631437136168808359e-04 1.154377533869278133e-01 1.154377533869278133e-01
2.641081720808478753e-04 1.158457965827494884e-01 1.158457965827494884e-01
2.650761654197926042e-04 1.162572086526459797e-01 1.162572086526459797e-01
2.660477065895248960e-04 1.166720188738537833e-01 1.166720188738537833e-01
2.670228085933405108e-04 1.170902579367760349e-01 1.170902579367760349e-01
2.680014844821935918e-04 1.175119544689493534e-01 1.175119544689493534e-01
2.689837473548723065e-04 1.179371393627818426e-01 1.179371393627818426e-01
2.699696103581728066e-04 1.183658430095936021e-01 1.183658430095936021e-01
2.709590866870769288e-04 1.187980960777362399e-01 1.187980960777362399e-01
2.719521895849276731e-04 1.192339295643946029e-01 1.192339295643946029e-01
2.729489323436071202e-04 1.196733755373176333e-01 1.196733755373176333e-01
2.739493283037128853e-04 1.201164649404396073e-01 1.201164649404396073e-01
2.749533908547388550e-04 1.205632301194779626e-01 1.205632301194779626e-01
2.759611334352527791e-04 1.210137036228752100e-01 1.210137036228752100e-01
2.769725695330770617e-04 1.214679181155973314e-01 1.214679181155973314e-01
2.779877126854679798e-04 1.219259063966051104e-01 1.219259063966051104e-01
2.790065764792984794e-04 1.223877022006007315e-01 1.223877022006007315e-01
2.800291745512391295e-04 1.228533392092040349e-01 1.228533392092040349e-01
2.810555205879411347e-04 1.233228516957069615e-01 1.233228516957069615e-01
2.820856283262182106e-04 1.237962739425206155e-01 1.237962739425206155e-01
2.831195115532322533e-04 1.242736405913782011e-01 1.242736405913782011e-01
2.841571841066768949e-04 1.247549872003356070e-01 1.247549872003356070e-01
2.851986598749630644e-04 1.252403491611226438e-01 1.252403491611226438e-01
2.862439527974036820e-04 1.257297624607725539e-01 1.257297624607725539e-01
2.872930768644022556e-04 1.262232636993126378e-01 1.262232636993126378e-01
2.883460461176386050e-04 1.267208891991724318e-01 1.267208891991724318e-01
2.894028746502577297e-04 1.272226763877493949e-01 1.272226763877493949e-01
2.904635766070569423e-04 1.277286627628262949e-01 1.277286627628262949e-01
2.915281661846772301e-04 1.282388859922750091e-01 1.282388859922750091e-01
2.925966576317917981e-04 1.287533851376480298e-01 1.287533851376480298e-01
2.936690652492977014e-04 1.292721981532944930e-01 1.292721981532944930e-01
2.947454033905057974e-04 1.297953646060067967e-01 1.297953646060067967e-01
2.958256864613346558e-04 1.303229245109288892e-01 1.303229245109288892e-01
2.969099289205024078e-04 1.308549175804631093e-01 1.308549175804631093e-01
2.979981452797203305e-04 1.313913843577909912e-01 1.313913843577909912e-01
2.990903501038874070e-04 1.319323661770812894e-01 1.319323661770812894e-01
3.001865580112841273e-04 1.324779041508369892e-01 1.324779041508369892e-01
3.012867836737699763e-04 1.330280402595121758e-01 1.330280402595121758e-01
3.023910418169788606e-04 1.335828172795712476e-01 1.335828172795712476e-01
3.034993472205151869e-04 1.341422776165828168e-01 1.341422776165828168e-01
3.046117147181536260e-04 1.347064651893995213e-01 1.347064651893995213e-01
3.057281591980364919e-04 1.352754233791920724e-01 1.352754233791920724e-01
3.068486956028731267e-04 1.358491972753110844e-01 1.358491972753110844e-01
3.079733389301403152e-04 1.364278311385651865e-01 1.364278311385651865e-01
3.091021042322817237e-04 1.370113708929465712e-01 1.370113708929465712e-01
3.102350066169112970e-04 1.375998622632261248e-01 1.375998622632261248e-01
3.113720612470142687e-04 1.381933521231710760e-01 1.381933521231710760e-01
3.125132833411505039e-04 1.387918871201829496e-01 1.387918871201829496e-01
3.136586881736570819e-04 1.393955151349872967e-01 1.393955151349872967e-01
3.148082910748547288e-04 1.400042844006743892e-01 1.400042844006743892e-01
3.159621074312515387e-04 1.406182436548904513e-01 1.406182436548904513e-01
3.171201526857496227e-04 1.412374423958653591e-01 1.412374423958653591e-01
3.182824423378505111e-04 1.418619305356169646e-01 1.418619305356169646e-01
3.194489919438645671e-04 1.424917587177496059e-01 1.424917587177496059e-01
3.206198171171178524e-04 1.431269779532721165e-01 1.431269779532721165e-01
3.217949335281618663e-04 1.437676403282544813e-01 1.437676403282544813e-01
3.229743569049818206e-04 1.444137980952855116e-01 1.444137980952855116e-01
3.241581030332090895e-04 1.450655044326738252e-01 1.450655044326738252e-01
