# Q I_noisy Sigma_stat Sigma_total
2.000000000000000367e-04 1.534162184105628915e+07 3.430919823955140600e+04 3.430919823955140600e+04
2.007330279342118596e-04 1.532127520072320476e+07 3.424537512414219236e+04 3.424537512414219236e+04
2.014687425181853678e-04 1.524995200573805906e+07 3.412442240155363106e+04 3.412442240155363106e+04
2.022071535988673868e-04 1.522430574472370185e+07 3.405441852273616678e+04 3.405441852273616678e+04
2.029482710592945530e-04 1.519871504219763353e+07 3.398434049008028524e+04 3.398434049008028524e+04
2.036921048187268326e-04 1.518841491493461467e+07 3.393121060320112156e+04 3.393121060320112156e+04
2.044386648327794966e-04 1.515805422984010540e+07 3.385552816841695312e+04 3.385552816841695312e+04
2.051879610935566944e-04 1.507527012281912565e+07 3.372113323657058936e+04 3.372113323657058936e+04
2.059400036297844580e-04 1.506415023009368218e+07 3.366670943005120353e+04 3.366670943005120353e+04
2.066948025069460381e-04 1.506674325400690734e+07 3.362743749358392233e+04 3.362743749358392233e+04
2.074523678274159920e-04 1.496563174899260513e+07 3.347220421021790389e+04 3.347220421021790389e+04
2.082127097305956284e-04 1.490833608073343523e+07 3.336576166209593794e+04 3.336576166209593794e+04
2.089758383930479630e-04 1.489065213836892694e+07 3.330350488121711533e+04 3.330350488121711533e+04
2.097417640286351683e-04 1.486547160376034677e+07 3.323272850070251297e+04 3.323272850070251297e+04
2.105104968886544511e-04 1.480187593289993517e+07 3.311887224658181367e+04 3.311887224658181367e+04
2.112820472619756653e-04 1.481575913497968204e+07 3.309150699413513939e+04 3.309150699413513939e+04
2.120564254751781377e-04 1.476468307142974250e+07 3.299141941576059617e+04 3.299141941576059617e+04
2.128336418926902052e-04 1.468606403385602683e+07 3.286040371030464303e+04 3.286040371030464303e+04
2.136137069169270980e-04 1.463717267692602798e+07 3.276249199365056484e+04 3.276249199365056484e+04
2.143966309884305578e-04 1.460248960023743473e+07 3.268035836200877748e+04 3.268035836200877748e+04
2.151824245860076970e-04 1.457643118480070494e+07 3.260775223940378783e+04 3.260775223940378783e+04
2.159710982268725683e-04 1.454205007271609828e+07 3.252571428739129988e+04 3.252571428739129988e+04
2.167626624667861083e-04 1.454932933813904971e+07 3.249010628347313104e+04 3.249010628347313104e+04
2.175571279001977613e-04 1.449829444534359500e+07 3.238922574749262276e+04 3.238922574749262276e+04
2.183545051603864526e-04 1.446886681863547303e+07 3.231235909307222755e+04 3.231235909307222755e+04
2.191548049196042995e-04 1.440365876666235924e+07 3.219540865335906710e+04 3.219540865335906710e+04
2.199580378892183712e-04 1.435643024202185124e+07 3.209842330300538742e+04 3.209842330300538742e+04
2.207642148198546970e-04 1.432996831145955622e+07 3.202453447461329051e+04 3.202453447461329051e+04
2.215733465015411923e-04 1.428670286867698282e+07 3.193175252528444980e+04 3.193175252528444980e+04
2.223854437638533204e-04 1.428961721291872300e+07 3.189042963648118894e+04 3.189042963648118894e+04
2.232005174760583188e-04 1.418055467909976840e+07 3.172391535684138580e+04 3.172391535684138580e+04
2.240185785472609975e-04 1.415040835523217171e+07 3.164546829405377866e+04 3.164546829405377866e+04
2.248396379265488318e-04 1.411269857164399512e+07 3.155845241425341010e+04 3.155845241425341010e+04
2.256637066031400105e-04 1.405805987170035206e+07 3.145239578102069572e+04 3.145239578102069572e+04
2.264907956065294510e-04 1.404817454430317506e+07 3.139627297166789504e+04 3.139627297166789504e+04
2.273209160066369278e-04 1.397064228683741204e+07 3.126440560352177272e+04 3.126440560352177272e+04
2.281540789139543620e-04 1.393250677110654488e+07 3.117648739486369595e+04 3.117648739486369595e+04
2.289902954796958746e-04 1.392647081337743625e+07 3.112435496662213700e+04 3.112435496662213700e+04
2.298295768959460509e-04 1.387582176353689656e+07 3.102224000246308060e+04 3.102224000246308060e+04
2.306719343958101302e-04 1.388170618143247627e+07 3.098317271792751853e+04 3.098317271792751853e+04
2.315173792535644114e-04 1.374519047511312179e+07 3.078486094169536591e+04 3.078486094169536591e+04
2.323659227848063062e-04 1.374024586490724422e+07 3.073357580952723583e+04 3.073357580952723583e+04
