# Q scale_from_stat scale_from_total
# # scale_from_stat = I/sigma_stat^2
# # scale_from_total = I/sigma_total^2
2.000000000000000367e-04 1.303317224681593139e-02 1.303317224681593139e-02
2.007330279342118596e-04 1.306444779417262510e-02 1.306444779417262510e-02
2.014687425181853678e-04 1.309597564142198599e-02 1.309597564142198599e-02
2.022071535988673868e-04 1.312775789919129465e-02 1.312775789919129465e-02
2.029482710592945530e-04 1.315979669627910867e-02 1.315979669627910867e-02
2.036921048187268326e-04 1.319209417981999019e-02 1.319209417981999019e-02
2.044386648327794966e-04 1.322465251545115739e-02 1.322465251545115739e-02
2.051879610935566944e-04 1.325747388748119843e-02 1.325747388748119843e-02
2.059400036297844580e-04 1.329056049906074920e-02 1.329056049906074920e-02
2.066948025069460381e-04 1.332391457235539839e-02 1.332391457235539839e-02
2.074523678274159920e-04 1.335753834872064477e-02 1.335753834872064477e-02
2.082127097305956284e-04 1.339143408887910267e-02 1.339143408887910267e-02
2.089758383930479630e-04 1.342560407309992786e-02 1.342560407309992786e-02
2.097417640286351683e-04 1.346005060138055764e-02 1.346005060138055764e-02
2.105104968886544511e-04 1.349477599363083091e-02 1.349477599363083091e-02
2.112820472619756653e-04 1.352978258985950734e-02 1.352978258985950734e-02
2.120564254751781377e-04 1.356507275036317531e-02 1.356507275036317531e-02
2.128336418926902052e-04 1.360064885591783478e-02 1.360064885591783478e-02
2.136137069169270980e-04 1.363651330797296252e-02 1.363651330797296252e-02
2.143966309884305578e-04 1.367266852884822977e-02 1.367266852884822977e-02
2.151824245860076970e-04 1.370911696193296767e-02 1.370911696193296767e-02
2.159710982268725683e-04 1.374586107188839439e-02 1.374586107188839439e-02
2.167626624667861083e-04 1.378290334485268200e-02 1.378290334485268200e-02
2.175571279001977613e-04 1.382024628864898276e-02 1.382024628864898276e-02
2.183545051603864526e-04 1.385789243299631601e-02 1.385789243299631601e-02
2.191548049196042995e-04 1.389584432972368333e-02 1.389584432972368333e-02
2.199580378892183712e-04 1.393410455298721429e-02 1.393410455298721429e-02
2.207642148198546970e-04 1.397267569949051276e-02 1.397267569949051276e-02
2.215733465015411923e-04 1.401156038870832524e-02 1.401156038870832524e-02
2.223854437638533204e-04 1.405076126311361959e-02 1.405076126311361959e-02
2.232005174760583188e-04 1.409028098840803440e-02 1.409028098840803440e-02
2.240185785472609975e-04 1.413012225375593310e-02 1.413012225375593310e-02
2.248396379265488318e-04 1.417028777202205062e-02 1.417028777202205062e-02
2.256637066031400105e-04 1.421078028001289753e-02 1.421078028001289753e-02
2.264907956065294510e-04 1.425160253872193722e-02 1.425160253872193722e-02
2.273209160066369278e-04 1.429275733357869040e-02 1.429275733357869040e-02
2.281540789139543620e-04 1.433424747470181740e-02 1.433424747470181740e-02
2.289902954796958746e-04 1.437607579715637421e-02 1.437607579715637421e-02
2.298295768959460509e-04 1.441824516121516936e-02 1.441824516121516936e-02
2.306719343958101302e-04 1.446075845262453918e-02 1.446075845262453918e-02
2.315173792535644114e-04 1.450361858287448069e-02 1.450361858287448069e-02
2.323659227848063062e-04 1.454682848947327217e-02 1.454682848947327217e-02
2.332175763466071854e-04 1.459039113622683827e-02 1.459039113622683827e-02
2.340723513376634075e-04 1.463430951352284043e-02 1.463430951352284043e-02
2.349302591984494084e-04 1.467858663861956736e-02 1.467858663861956736e-02
2.357913114113698689e-04 1.472322555593984575e-02 1.472322555593984575e-02
2.366555195009147560e-04 1.476822933737019679e-02 1.476822933737019679e-02
2.375228950338126560e-04 1.481360108256504944e-02 1.481360108256504944e-02
2.383934496191861675e-04 1.485934391925644929e-02 1.485934391925644929e-02
2.392671949087060755e-04 1.490546100356916238e-02 1.490546100356916238e-02
2.401441425967490212e-04 1.495195552034159735e-02 1.495195552034159735e-02
2.410243044205528679e-04 1.499883068345231156e-02 1.499883068345231156e-02
2.419076921603743175e-04 1.504608973615254551e-02 1.504608973615254551e-02
2.427943176396456855e-04 1.509373595140473152e-02 1.509373595140473152e-02
2.436841927251344963e-04 1.514177263222732210e-02 1.514177263222732210e-02
2.445773293271013963e-04 1.519020311204588754e-02 1.519020311204588754e-02
2.454737393994601289e-04 1.523903075505069621e-02 1.523903075505069621e-02
2.463734349399363151e-04 1.528825895656101171e-02 1.528825895656101171e-02
2.472764279902298404e-04 1.533789114339622651e-02 1.533789114339622651e-02
2.481827306361746120e-04 1.538793077425384785e-02 1.538793077425384785e-02
2.490923550079012969e-04 1.543838134009480403e-02 1.543838134009480403e-02
2.500053132799983269e-04 1.548924636453582679e-02 1.548924636453582679e-02
2.509216176716764254e-04 1.554052940424958257e-02 1.554052940424958257e-02
2.518412804469312384e-04 1.559223404937217818e-02 1.559223404937217818e-02
2.527643139147078616e-04 1.564436392391869990e-02 1.564436392391869990e-02
2.536907304290647179e-04 1.569692268620657971e-02 1.569692268620657971e-02
2.546205423893402537e-04 1.574991402928727427e-02 1.574991402928727427e-02
2.555537622403180622e-04 1.580334168138624457e-02 1.580334168138624457e-02
2.564904024723937428e-04 1.585720940635147735e-02 1.585720940635147735e-02
2.574304756217412173e-04 1.591152100411068887e-02 1.591152100411068887e-02
2.583739942704820825e-04 1.596628031113760463e-02 1.596628031113760463e-02
2.593209710468528484e-04 1.602149120092723200e-02 1.602149120092723200e-02
2.602714186253745612e-04 1.607715758448043791e-02 1.607715758448043791e-02
2.612253497270212348e-04 1.613328341079808131e-02 1.613328341079808131e-02
2.621827771193920758e-04 1.618987266738493996e-02 1.618987266738493996e-02
2.631437136168808359e-04 1.624692938076336551e-02 1.624692938076336551e-02
2.641081720808478753e-04 1.630445761699720122e-02 1.630445761699720122e-02
2.650761654197926042e-04 1.636246148222603516e-02 1.636246148222603516e-02
2.660477065895248960e-04 1.642094512320982358e-02 1.642094512320982358e-02
2.670228085933405108e-04 1.647991272788453671e-02 1.647991272788453671e-02
2.680014844821935918e-04 1.653936852592852169e-02 1.653936852592852169e-02
2.689837473548723065e-04 1.659931678934017940e-02 1.659931678934017940e-02
2.699696103581728066e-04 1.665976183302694466e-02 1.665976183302694466e-02
2.709590866870769288e-04 1.672070801540601406e-02 1.672070801540601406e-02
2.719521895849276731e-04 1.678215973901677968e-02 1.678215973901677968e-02
2.729489323436071202e-04 1.684412145114539891e-02 1.684412145114539891e-02
2.739493283037128853e-04 1.690659764446151084e-02 1.690659764446151084e-02
2.749533908547388550e-04 1.696959285766770284e-02 1.696959285766770284e-02
2.759611334352527791e-04 1.703311167616142555e-02 1.703311167616142555e-02
2.769725695330770617e-04 1.709715873271010211e-02 1.709715873271010211e-02
2.779877126854679798e-04 1.716173870813912303e-02 1.716173870813912303e-02
