r_center, dphi_dlnr, phi_bin
5.227419392225053585e+00,4.475028030876849206e-09,3.980968810082017055e-10
5.713760406068792541e+00,1.014519352241576046e-08,9.025127598378324917e-10
6.245348905143647933e+00,2.249976029377619811e-08,2.001570567733272834e-09
6.826394558923226441e+00,4.881445294907841576e-08,4.342516143601004427e-09
7.461498689963870667e+00,1.036029070861088779e-07,9.216477280094490376e-09
8.155690711952400918e+00,2.151039754281127460e-07,1.913557213933641952e-08
8.914467957823729805e+00,4.368958421854026009e-07,3.886609668127164639e-08
9.743839213348747919e+00,8.680812309729163270e-07,7.722419348608289562e-08
1.065037230093660447e+01,1.687313575847129440e-06,1.501028076679824829e-07
1.164124609046930736e+01,3.208368288177672585e-06,2.854152867504806909e-07
1.272430734904443739e+01,5.967955953858750023e-06,5.309072110459988406e-07
1.390813287982120805e+01,1.085975388979261415e-05,9.660797926211022799e-07
1.520209744204979074e+01,1.933157936956253717e-05,1.719730334399134791e-06
1.661644799014514717e+01,3.366415133240458315e-05,2.994750771335932781e-06
1.816238481970746221e+01,5.734835749342279094e-05,5.101689216592777856e-06
1.985215026308751618e+01,9.557125237012371074e-05,8.501984170843059562e-06
2.169912563688062690e+01,1.558068509752216909e-04,1.386052131628589345e-05
2.371793720907997027e+01,2.484842136473866623e-04,2.210506610243901927e-05
2.592457202504720826e+01,3.876716436977859057e-04,3.448712972221794977e-05
2.833650450953068756e+01,5.916736766906333491e-04,5.263507706320294630e-05
3.097283484729738134e+01,8.833919562301869102e-04,7.858623008760528238e-05
3.385444023822002890e+01,1.290261125658098305e-03,1.147811647807655546e-04
3.700414022461426100e+01,1.843549336499081736e-03,1.640014846345486826e-04
4.044687740005917220e+01,2.576824828169298025e-03,2.292334081307854802e-04
4.420991493074127021e+01,3.523449148001469265e-03,3.134447664980428961e-04
4.832305245350088541e+01,4.713072271355187026e-03,4.192732108596650782e-04
5.281886206028593023e+01,6.167272962633053683e-03,5.486383803207948778e-04
5.773294623778253509e+01,7.894692554660045353e-03,7.023090047355563760e-04
6.310421980485668314e+01,9.886219595574735272e-03,8.794745326297545270e-04
6.897521808047979164e+01,1.211095147657575283e-02,1.077385879060466494e-03
7.539243372253199027e+01,1.451373722419130145e-02,1.291136833301815157e-03
8.240668490492200249e+01,1.701504996816902496e-02,1.513652713634409692e-03
9.007351774863272453e+01,1.951372522389250783e-02,1.735933963962350531e-03
9.845364619355855496e+01,2.189274053822922589e-02,1.947570309025114556e-03
1.076134327944968447e+02,2.402774830991000546e-02,2.137499831023628120e-03
